prov_rank,kabupaten,kecamatan,mean_lsi,median_lsi,std_lsi,iqr_lsi,pct_critical_area,pct_severe_area,n_pixels_1km2,intra_kab_rank,kab_total_kec,kab_mean_lsi,intra_kab_delta,intra_kab_zscore,risk_category
152,Tuban,Tuban,0.6652451157569885,0.6334933638572693,0.17018882930278778,0.22330498695373535,28.57142857142857,19.047619047619047,21,9,19,0.6537798674483049,0.011465248308683673,0.14783830357010502,High Priority (Tier 2)
153,Kediri,Pare,0.6634353399276733,0.6349935531616211,0.17258505523204803,0.1774590015411377,23.91304347826087,16.304347826086957,92,8,21,0.6245542353107816,0.03888110461689176,0.3596017289366797,High Priority (Tier 2)
154,Pasuruan,Sukorejo,0.6630731821060181,0.6110280156135559,0.18316376209259033,0.23825377225875854,28.07017543859649,21.052631578947366,57,4,24,0.5713256684442362,0.09174751366178191,1.0775658427002284,High Priority (Tier 2)
155,Malang,Sumberpucung,0.6625863313674927,0.6443827152252197,0.19153079390525818,0.3027706742286682,37.5,17.5,40,4,35,0.5215494292122977,0.14103690215519493,1.4890901357672528,High Priority (Tier 2)
156,Banyuwangi,Kabat,0.6621922850608826,0.611502468585968,0.17891600728034973,0.24348533153533936,33.84615384615385,21.53846153846154,65,2,19,0.48182513682465805,0.18036714823622452,1.4071696433828742,High Priority (Tier 2)
157,Ngawi,Karangjati,0.6614602208137512,0.6930182576179504,0.16100238263607025,0.19409281015396118,33.33333333333333,4.938271604938271,81,13,16,0.7481553852558136,-0.08669516444206238,-1.1290583545918962,High Priority (Tier 2)
158,Bangkalan,Klampis,0.6614460349082947,0.6761561036109924,0.0803864449262619,0.1083228588104248,13.698630136986301,1.36986301369863,73,6,18,0.6350120902061462,0.026433944702148438,0.3748885829704605,High Priority (Tier 2)
159,Jember,Janggawah,0.6611726880073547,0.6783004999160767,0.1894286721944809,0.242822527885437,34.375,16.666666666666664,96,4,28,0.5093095212110451,0.15186316679630962,1.148644634811388,High Priority (Tier 2)
160,Ngawi,Kendal,0.6588485836982727,0.6548857092857361,0.13531365990638733,0.14461898803710938,25.263157894736842,8.421052631578947,95,14,16,0.7481553852558136,-0.0893068015575409,-1.1630705249749846,High Priority (Tier 2)
161,Nganjuk,Sukomoro,0.6588144302368164,0.6553444266319275,0.09089352190494537,0.10429543256759644,20.0,3.3333333333333335,30,14,20,0.6635750740766525,-0.004760643839836098,-0.05921976845815763,High Priority (Tier 2)
162,Pamekasan,Palengaan,0.6586177349090576,0.6602308750152588,0.04703095555305481,0.06441843509674072,2.631578947368421,0.0,76,8,13,0.6722519260186416,-0.01363419110958397,-0.22691740298083757,High Priority (Tier 2)
163,Nganjuk,Rejoso,0.6574530601501465,0.665734589099884,0.08056975901126862,0.0960281491279602,7.514450867052023,0.5780346820809248,173,15,20,0.6635750740766525,-0.00612201392650602,-0.07615445713279505,High Priority (Tier 2)
164,Bangkalan,Sepuluh,0.6572394967079163,0.6562076807022095,0.08516590297222137,0.12867587804794312,12.857142857142856,1.4285714285714286,70,7,18,0.6350120902061462,0.02222740650177002,0.3152310796004544,High Priority (Tier 2)
165,Bangkalan,Modung,0.6568127870559692,0.6483265161514282,0.061906974762678146,0.06504279375076294,6.666666666666667,0.0,15,8,18,0.6350120902061462,0.021800696849822998,0.30917944491025867,High Priority (Tier 2)
166,Bojonegoro,Temayang,0.6564647555351257,0.6661114692687988,0.07499881088733673,0.0937950611114502,8.411214953271028,0.9345794392523363,107,21,23,0.7530349026555601,-0.09657014712043432,-1.2027213992003347,High Priority (Tier 2)
167,Madiun,Wungu,0.6549960374832153,0.6617349982261658,0.08100970834493637,0.1067122220993042,7.5,2.5,80,8,15,0.6499545017878214,0.005041535695393895,0.06731473701369584,High Priority (Tier 2)
168,Banyuwangi,Cluring,0.6548880934715271,0.6300791501998901,0.1560782790184021,0.1858310103416443,18.181818181818183,12.727272727272727,55,3,19,0.48182513682465805,0.17306295664686905,1.3501845617064026,High Priority (Tier 2)
169,Tuban,Merakurak,0.6540627479553223,0.6765534281730652,0.13234616816043854,0.13453620672225952,16.049382716049383,4.938271604938271,81,10,19,0.6537798674483049,0.0002828805070174134,0.0036475942905511323,High Priority (Tier 2)
170,Situbondo,Asembagus,0.6539067625999451,0.6807979345321655,0.1672443151473999,0.25055670738220215,35.294117647058826,8.823529411764707,170,2,17,0.584401069318547,0.0695056932813981,0.8255704192563167,High Priority (Tier 2)
171,Bangkalan,Tanjungbumi,0.651711642742157,0.6374374032020569,0.0777418315410614,0.10243487358093262,5.333333333333334,2.666666666666667,75,9,18,0.6350120902061462,0.016699552536010742,0.23683455711992177,High Priority (Tier 2)
172,Madiun,Wonoasri,0.6507076025009155,0.6425948143005371,0.10887062549591064,0.11792951822280884,15.789473684210526,5.263157894736842,38,9,15,0.6499545017878214,0.0007531007130940903,0.010055423487940753,High Priority (Tier 2)
173,Sumenep,Manding,0.6506354808807373,0.6398991346359253,0.08291701972484589,0.10906785726547241,12.903225806451612,0.0,62,5,25,0.6219279944896698,0.02870748639106746,0.5967955013600873,High Priority (Tier 2)
174,Sumenep,Ganding,0.650438129901886,0.6520031094551086,0.08108287304639816,0.07937353849411011,6.382978723404255,2.127659574468085,47,6,25,0.6219279944896698,0.028510135412216142,0.5926928023371549,High Priority (Tier 2)
175,Jombang,Bandar Kedungmulyo,0.6487123370170593,0.6357948184013367,0.13960866630077362,0.18681222200393677,21.951219512195124,9.75609756097561,41,11,20,0.6710116803646088,-0.02229934334754946,-0.2081655731729356,Moderate Sensitivity (Tier 3)
176,Bondowoso,Grujugan,0.6482830047607422,0.7136393189430237,0.28720033168792725,0.5185643434524536,44.61538461538462,32.30769230769231,65,12,17,0.7410174660822925,-0.09273446132155028,-0.5282188952657803,High Priority (Tier 2)
177,Ponorogo,Ponorogo,0.6480660438537598,0.5932429432868958,0.12686356902122498,0.1494690179824829,24.0,12.0,25,2,19,0.5377402384030191,0.11032580545074067,1.3685474312331742,Moderate Sensitivity (Tier 3)
178,Tuban,Singgahan,0.6480359435081482,0.6643040180206299,0.1071801707148552,0.14144748449325562,16.43835616438356,2.73972602739726,73,11,19,0.6537798674483049,-0.005743923940156659,-0.07406485653741306,Moderate Sensitivity (Tier 3)
179,Bondowoso,Sukosari,0.6470199227333069,0.8267695903778076,0.3684757649898529,0.6847440004348755,56.41025641025641,48.07692307692308,156,13,17,0.7410174660822925,-0.09399754334898558,-0.5354134568522063,High Priority (Tier 2)
180,Ngawi,Jogorogo,0.6465783715248108,0.6844010949134827,0.13928142189979553,0.15099918842315674,19.607843137254903,1.9607843137254901,51,15,16,0.7481553852558136,-0.10157701373100281,-1.322869351774843,Moderate Sensitivity (Tier 3)
181,Ngawi,Sine,0.6450878381729126,0.6728335618972778,0.22121426463127136,0.3512263596057892,39.175257731958766,20.618556701030926,97,16,16,0.7481553852558136,-0.103067547082901,-1.3422810357434822,High Priority (Tier 2)
182,Sumenep,Batuputih,0.6450181603431702,0.6434054374694824,0.1058693453669548,0.1038011908531189,11.428571428571429,3.8095238095238098,105,7,25,0.6219279944896698,0.023090165853500322,0.48001789217306995,Moderate Sensitivity (Tier 3)
183,Gresik,Driyorejo,0.6446617841720581,0.6253324151039124,0.08209189772605896,0.100269615650177,15.254237288135593,0.0,59,6,18,0.6209769807755947,0.023684803396463394,0.4233044662792324,Moderate Sensitivity (Tier 3)
184,Jember,Kalisat,0.6445031762123108,0.6334958672523499,0.09643088281154633,0.14128702878952026,11.494252873563218,2.2988505747126435,87,5,28,0.5093095212110451,0.13519365500126568,1.0225617557813185,Moderate Sensitivity (Tier 3)
185,Pasuruan,Pohjentrek,0.6437557339668274,0.5855495929718018,0.17264585196971893,0.2613063454627991,36.36363636363637,9.090909090909092,11,5,24,0.5713256684442362,0.07243006552259124,0.8506842471982464,High Priority (Tier 2)
186,Ponorogo,Siman,0.6426388621330261,0.6101595163345337,0.11942747980356216,0.15048277378082275,18.181818181818183,6.8181818181818175,44,3,19,0.5377402384030191,0.10489862373000702,1.3012254155687437,Moderate Sensitivity (Tier 3)
187,Magetan,Takeran,0.6425699591636658,0.6282403469085693,0.10361623018980026,0.09233963489532471,19.607843137254903,3.9215686274509802,51,3,13,0.603030264377594,0.03953969478607178,0.8714680902904783,Moderate Sensitivity (Tier 3)
188,Sumenep,Saronggi,0.6424832940101624,0.6495361924171448,0.11963789165019989,0.16856378316879272,17.073170731707318,7.317073170731707,41,8,25,0.6219279944896698,0.02055529952049251,0.42732094742910515,Moderate Sensitivity (Tier 3)
189,Mojokerto,Puri,0.641784131526947,0.6648057699203491,0.14002175629138947,0.19512563943862915,24.137931034482758,5.172413793103448,58,9,17,0.6392107851365033,0.0025733463904437093,0.018867730733342032,Moderate Sensitivity (Tier 3)
190,Jombang,Kesamben,0.6412929892539978,0.6390866041183472,0.1436714380979538,0.20680654048919678,16.9811320754717,7.547169811320755,53,12,20,0.6710116803646088,-0.029718691110610984,-0.27742558480627205,Moderate Sensitivity (Tier 3)
191,Situbondo,Banyuputih,0.6410331130027771,0.6410059928894043,0.12361329793930054,0.14599007368087769,15.649867374005305,3.7135278514588856,377,3,17,0.584401069318547,0.05663204368423014,0.6726605813202453,Moderate Sensitivity (Tier 3)
192,Madiun,Saradan,0.6406065821647644,0.6349385976791382,0.08454792201519012,0.10861873626708984,8.808290155440414,1.5544041450777202,193,10,15,0.6499545017878214,-0.009347919623057033,-0.12481370540055005,Moderate Sensitivity (Tier 3)
193,Sumenep,Nonggunong,0.6401315331459045,0.6283282041549683,0.06941495090723038,0.08215302228927612,6.666666666666667,0.0,30,9,25,0.6219279944896698,0.018203538656234697,0.37843055399847414,Moderate Sensitivity (Tier 3)
194,Pasuruan,Gondang Wetan,0.639918863773346,0.6264940500259399,0.14279793202877045,0.16007107496261597,19.230769230769234,7.6923076923076925,26,6,24,0.5713256684442362,0.06859319532910979,0.805620570828644,Moderate Sensitivity (Tier 3)
195,Lamongan,Paciran,0.638680636882782,0.6236158609390259,0.10002072900533676,0.10948675870895386,13.157894736842104,2.631578947368421,76,15,25,0.6764296876887481,-0.03774905080596613,-0.30205470989762984,Moderate Sensitivity (Tier 3)
196,Sumenep,Lenteng,0.6382441520690918,0.6385468244552612,0.09565624594688416,0.13195139169692993,16.417910447761194,0.0,67,10,25,0.6219279944896698,0.016316157579421953,0.33919408025605396,Moderate Sensitivity (Tier 3)
197,Madiun,Sawahan,0.6381003260612488,0.620764970779419,0.10961542278528214,0.1666010618209839,10.714285714285714,3.571428571428571,28,11,15,0.6499545017878214,-0.011854175726572658,-0.15827731266038977,Moderate Sensitivity (Tier 3)
198,Jember,Ambulu,0.6379113793373108,0.6378949880599976,0.13251633942127228,0.15029996633529663,21.138211382113823,4.878048780487805,123,6,28,0.5093095212110451,0.12860185812626568,0.9727035032901737,Moderate Sensitivity (Tier 3)
199,Tulungagung,Ngantru,0.6364083886146545,0.6055788397789001,0.1779041290283203,0.19258272647857666,22.22222222222222,17.77777777777778,45,2,19,0.5478861473108593,0.08852224130379527,1.0478073891435695,Moderate Sensitivity (Tier 3)
200,Sampang,Kedungdung,0.6359794735908508,0.6438766717910767,0.08046063780784607,0.11754953861236572,5.64516129032258,0.0,124,4,12,0.6185134251912435,0.017466048399607303,0.3244538475397459,Moderate Sensitivity (Tier 3)
201,Mojokerto,Gedek,0.6320058107376099,0.6177161931991577,0.12229608744382858,0.16005825996398926,18.51851851851852,3.7037037037037033,27,10,17,0.6392107851365033,-0.007204974398893449,-0.052826746295707494,Moderate Sensitivity (Tier 3)
202,Pacitan,Pacitan,0.6314026117324829,0.6295661926269531,0.0960242822766304,0.1387074589729309,8.75,1.25,80,1,12,0.47792630394299823,0.15347630778948468,1.7685518596895196,Moderate Sensitivity (Tier 3)
203,Gresik,Panceng,0.6298011541366577,0.6475931406021118,0.08864486217498779,0.11824363470077515,4.918032786885246,0.0,61,7,18,0.6209769807755947,0.008824173361063004,0.1577092252966706,Moderate Sensitivity (Tier 3)
204,Kota Madiun,Kartoharjo,0.6294280886650085,0.6238927841186523,0.13843059539794922,0.1599738597869873,18.181818181818183,9.090909090909092,11,2,3,0.6265403230985006,0.0028877655665079383,0.029980391958662426,Moderate Sensitivity (Tier 3)
205,Bondowoso,Maesan,0.6289413571357727,0.6974132061004639,0.2653965651988983,0.323457270860672,37.80487804878049,15.853658536585366,82,14,17,0.7410174660822925,-0.11207610894651976,-0.6383896300226897,High Priority (Tier 2)
206,Sumenep,Pragaan,0.6273931264877319,0.6203920841217041,0.06409335136413574,0.08929020166397095,1.2987012987012987,0.0,77,11,25,0.6219279944896698,0.005465131998062089,0.11361378514133443,Moderate Sensitivity (Tier 3)
207,Pasuruan,Winongan,0.6273900270462036,0.585347592830658,0.16555927693843842,0.14010637998580933,20.0,15.0,40,7,24,0.5713256684442362,0.05606435860196746,0.6584705722389765,Moderate Sensitivity (Tier 3)
208,Tuban,Bangilan,0.6262214183807373,0.6323814988136292,0.12167363613843918,0.13969695568084717,14.736842105263156,3.1578947368421053,95,12,19,0.6537798674483049,-0.027558449067567548,-0.3553516024669585,Moderate Sensitivity (Tier 3)
209,Lamongan,Laren,0.625622570514679,0.6537911891937256,0.13506101071834564,0.1815502643585205,15.384615384615385,4.395604395604396,91,16,25,0.6764296876887481,-0.05080711717406916,-0.4065407927110811,Moderate Sensitivity (Tier 3)
210,Situbondo,Situbondo,0.6255266666412354,0.641901969909668,0.09814485162496567,0.08801615238189697,3.225806451612903,3.225806451612903,31,4,17,0.584401069318547,0.04112559732268839,0.48847907302213683,Moderate Sensitivity (Tier 3)
211,Probolinggo,Paiton,0.625430703163147,0.628801167011261,0.035829585045576096,0.0437849760055542,0.0,0.0,3,1,24,0.4254318579383518,0.19999884522479516,2.625221831885803,Moderate Sensitivity (Tier 3)
212,Trenggalek,Trenggalek,0.6252123117446899,0.6078746318817139,0.12488211691379547,0.1576136350631714,11.29032258064516,8.064516129032258,62,2,13,0.4784364299132274,0.14677588183146256,0.9510735704148784,Moderate Sensitivity (Tier 3)
213,Pamekasan,Pengantenan,0.6245551705360413,0.6201679706573486,0.07114561647176743,0.10269159078598022,5.813953488372093,0.0,86,9,13,0.6722519260186416,-0.04769675548260033,-0.7938295567175712,Moderate Sensitivity (Tier 3)
214,Tuban,Tambakboyo,0.624535858631134,0.6118199825286865,0.08062323182821274,0.1278235912322998,9.67741935483871,0.0,31,13,19,0.6537798674483049,-0.02924400881717082,-0.37708600256352376,Moderate Sensitivity (Tier 3)
215,Kediri,Tarokan,0.6232470870018005,0.6153365969657898,0.12094797939062119,0.176102876663208,11.11111111111111,5.555555555555555,54,9,21,0.6245542353107816,-0.0013071483089810432,-0.012089491708577321,Moderate Sensitivity (Tier 3)
216,Pamekasan,Kadur,0.6231796145439148,0.6253372430801392,0.05639536306262016,0.05920463800430298,1.8518518518518516,0.0,54,10,13,0.6722519260186416,-0.04907231147472679,-0.8167232942982813,Moderate Sensitivity (Tier 3)
217,Sumenep,Masalembo,0.6219279944896698,0.6219279944896698,,,0.0,,0,12,25,0.6219279944896698,0.0,0.0,Moderate Sensitivity (Tier 3)
217,Sumenep,Sapeken,0.6219279944896698,0.6219279944896698,,,0.0,,0,12,25,0.6219279944896698,0.0,0.0,Moderate Sensitivity (Tier 3)
217,Sumenep,Talango,0.6219279944896698,0.6219279944896698,,,0.0,,0,12,25,0.6219279944896698,0.0,0.0,Moderate Sensitivity (Tier 3)
217,Sumenep,Giligenteng,0.6219279944896698,0.6219279944896698,,,0.0,,0,12,25,0.6219279944896698,0.0,0.0,Moderate Sensitivity (Tier 3)
217,Sumenep,R a a s,0.6219279944896698,0.6219279944896698,,,0.0,,0,12,25,0.6219279944896698,0.0,0.0,Moderate Sensitivity (Tier 3)
222,Trenggalek,Pogalan,0.6218317747116089,0.6314985752105713,0.16670691967010498,0.22509527206420898,21.27659574468085,6.382978723404255,47,3,13,0.4784364299132274,0.1433953447983815,0.9291684768405544,Moderate Sensitivity (Tier 3)
223,Sampang,Banyuates,0.621209979057312,0.6191565990447998,0.08108049631118774,0.11392867565155029,6.962025316455696,0.6329113924050633,158,5,12,0.6185134251912435,0.002696553866068485,0.05009188437630618,Moderate Sensitivity (Tier 3)
224,Gresik,Bawean/Sangkapura,0.6209769807755947,0.6209769807755947,,,0.0,,0,8,18,0.6209769807755947,0.0,0.0,Moderate Sensitivity (Tier 3)
224,Gresik,Tambak,0.6209769807755947,0.6209769807755947,,,0.0,,0,8,18,0.6209769807755947,0.0,0.0,Moderate Sensitivity (Tier 3)
226,Bangkalan,Labang,0.6208505034446716,0.6014113426208496,0.07956048101186752,0.09480464458465576,11.428571428571429,0.0,35,10,18,0.6350120902061462,-0.01416158676147461,-0.20084089807417035,Moderate Sensitivity (Tier 3)
227,Gresik,Ujungpangkah,0.6200893521308899,0.5846457481384277,0.13849326968193054,0.15756815671920776,13.513513513513514,8.108108108108109,37,10,18,0.6209769807755947,-0.0008876286447048187,-0.015864061162400724,Moderate Sensitivity (Tier 3)
228,Lamongan,Solokuro,0.6187290549278259,0.6186086535453796,0.07838549464941025,0.07783573865890503,5.154639175257731,0.0,97,17,25,0.6764296876887481,-0.05770063276092219,-0.4617002949053083,Moderate Sensitivity (Tier 3)
229,Tulungagung,Ngunut,0.6187272667884827,0.5753254890441895,0.1629408597946167,0.27185767889022827,31.818181818181817,9.090909090909092,44,3,19,0.5478861473108593,0.0708411194776234,0.8385220183153431,High Priority (Tier 2)
230,Tulungagung,Karangrejo,0.6180493831634521,0.601386547088623,0.15382660925388336,0.16982048749923706,13.88888888888889,8.333333333333332,36,4,19,0.5478861473108593,0.07016323585259288,0.8304981424980918,Moderate Sensitivity (Tier 3)
231,Tulungagung,Campur Darat,0.6174336075782776,0.6067782640457153,0.15812648832798004,0.16819357872009277,16.666666666666664,10.416666666666668,48,5,19,0.5478861473108593,0.06954746026741832,0.8232094182329003,Moderate Sensitivity (Tier 3)
