id_kec,kabupaten,kecamatan,mean_lsi,crop_fraction,crop_density_pct,mean_asi,zone,zone_name,prov_rank
3507161.0,Malang,Kromengan,0.6043,0.0789,7.89,0.0401,2,Zone 2: Hydrologic Conveyance,447
3515110.0,Sidoarjo,Sidoarjo,0.436,0.0857,8.57,0.0398,4,Zone 4: Ecological Catchment,448
3501040.0,Pacitan,Pacitan,0.6314,0.0625,6.25,0.0395,2,Zone 2: Hydrologic Conveyance,449
3526170.0,Bangkalan,Sepuluh,0.6572,0.0548,5.48,0.0391,2,Zone 2: Hydrologic Conveyance,450
3574030.0,Kota Probolinggo,Mayangan,0.318,0.1053,10.53,0.0379,4,Zone 4: Ecological Catchment,451
3510190.0,Banyuwangi,Wongsorejo,0.5127,0.1542,15.42,0.0369,4,Zone 4: Ecological Catchment,452
3508030.0,Lumajang,Candipuro,0.2931,0.1173,11.73,0.0359,4,Zone 4: Ecological Catchment,453
3511140.0,Bondowoso,Klabang,0.4935,0.04,4.0,0.0348,4,Zone 4: Ecological Catchment,454
3507310.0,Malang,Kasembon,0.5395,0.0381,3.81,0.0342,4,Zone 4: Ecological Catchment,455
3516040.0,Mojokerto,Trawas,0.3579,0.0735,7.35,0.0334,4,Zone 4: Ecological Catchment,456
3514010.0,Pasuruan,Purwodadi,0.6838,0.045,4.5,0.0329,2,Zone 2: Hydrologic Conveyance,457
3510040.0,Banyuwangi,Tegaldlimo,0.3842,0.047,4.7,0.0312,4,Zone 4: Ecological Catchment,458
3528110.0,Pamekasan,Batumarmar,0.595,0.049,4.9,0.0306,4,Zone 4: Ecological Catchment,459
3507030.0,Malang,Pagak,0.5924,0.0349,3.49,0.0305,4,Zone 4: Ecological Catchment,460
3514060.0,Pasuruan,Pasrepah,0.5421,0.0513,5.13,0.0294,4,Zone 4: Ecological Catchment,461
3507240.0,Malang,Lawang,0.7448,0.0349,3.49,0.029,2,Zone 2: Hydrologic Conveyance,462
3527100.0,Sampang,Robatal,0.7108,0.0414,4.14,0.0282,2,Zone 2: Hydrologic Conveyance,463
3512031.0,Situbondo,Banyuglugur,0.4969,0.0769,7.69,0.0277,4,Zone 4: Ecological Catchment,464
3509110.0,Jember,Sukorambi,0.4137,0.0682,6.82,0.0267,4,Zone 4: Ecological Catchment,465
3513060.0,Probolinggo,Tegalsiwalan,0.3612,0.1493,14.93,0.0265,4,Zone 4: Ecological Catchment,466
3513030.0,Probolinggo,Kuripan,0.5288,0.0469,4.69,0.0265,4,Zone 4: Ecological Catchment,467
3508110.0,Lumajang,Randuagung,0.3784,0.0517,5.17,0.0262,4,Zone 4: Ecological Catchment,468
3504060.0,Tulungagung,Pucang Laban,0.481,0.0256,2.56,0.0255,4,Zone 4: Ecological Catchment,469
3513020.0,Probolinggo,Sumber,0.4157,0.05,5.0,0.0254,4,Zone 4: Ecological Catchment,470
3509150.0,Jember,Sumber Baru,0.2654,0.0938,9.38,0.0249,4,Zone 4: Ecological Catchment,471
3515140.0,Sidoarjo,Waru,0.4594,0.0556,5.56,0.0249,4,Zone 4: Ecological Catchment,472
3526060.0,Bangkalan,Konang,0.7175,0.0395,3.95,0.0247,2,Zone 2: Hydrologic Conveyance,473
3510160.0,Banyuwangi,Glagah,0.3454,0.042,4.2,0.0244,4,Zone 4: Ecological Catchment,474
3509180.0,Jember,Panti,0.2724,0.0362,3.62,0.0241,4,Zone 4: Ecological Catchment,475
3507270.0,Malang,Dau,0.5731,0.0312,3.12,0.0231,4,Zone 4: Ecological Catchment,476
3508010.0,Lumajang,Tempursari,0.3263,0.0426,4.26,0.0229,4,Zone 4: Ecological Catchment,477
3509060.0,Jember,Tempurejo,0.4244,0.0367,3.67,0.0218,4,Zone 4: Ecological Catchment,478
3510010.0,Banyuwangi,Pesanggrahan,0.3993,0.0295,2.95,0.0217,4,Zone 4: Ecological Catchment,479
3510150.0,Banyuwangi,Sanggon,0.2576,0.0778,7.78,0.0216,4,Zone 4: Ecological Catchment,480
3505180.0,Blitar,Gandusari,0.4129,0.0385,3.85,0.0212,4,Zone 4: Ecological Catchment,481
3506010.0,Kediri,Mojo,0.5419,0.0333,3.33,0.0206,4,Zone 4: Ecological Catchment,482
3507180.0,Malang,Wagir,0.5111,0.0337,3.37,0.0199,4,Zone 4: Ecological Catchment,483
3513050.0,Probolinggo,Leces,0.3979,0.0645,6.45,0.0192,4,Zone 4: Ecological Catchment,484
3505030.0,Blitar,Panggungrejo,0.5455,0.0403,4.03,0.019,4,Zone 4: Ecological Catchment,485
3508020.0,Lumajang,Pronojiwo,0.2323,0.0745,7.45,0.0189,4,Zone 4: Ecological Catchment,486
3529010.0,Sumenep,Pragaan,0.6274,0.0244,2.44,0.0185,2,Zone 2: Hydrologic Conveyance,487
3507110.0,Malang,Wajak,0.4005,0.0342,3.42,0.0179,4,Zone 4: Ecological Catchment,488
3507100.0,Malang,Poncokusumo,0.3781,0.0269,2.69,0.0175,4,Zone 4: Ecological Catchment,489
3514100.0,Pasuruan,Prigen,0.5341,0.0365,3.65,0.0172,4,Zone 4: Ecological Catchment,490
3527080.0,Sampang,Tembelangan,0.6151,0.04,4.0,0.0172,2,Zone 2: Hydrologic Conveyance,491
3514050.0,Pasuruan,Lumbang,0.3604,0.0312,3.12,0.0169,4,Zone 4: Ecological Catchment,492
3526140.0,Bangkalan,Geger,0.74,0.0222,2.22,0.0159,2,Zone 2: Hydrologic Conveyance,493
